id,name,parent_id,depth,url
,Shop All,0,0,"{'path': '/shop-all/', 'is_customized': False}"
,Shop All,0,0,"{'path': '/shop-all/', 'is_customized': False}"
,Shop All,0,0,"{'path': '/shop-all/', 'is_customized': False}"
,Special Causes,0,0,"{'path': '/miscellaneous', 'is_customized': True}"
,Apparel,0,0,"{'path': '/first-responder-apparel', 'is_customized': False}"
,Apparatus and Station Equipment,0,0,"{'path': '/apparatus-and-station-equipment/', 'is_customized': False}"
,Badges and Insignia,0,0,"{'path': '/badges-and-insignia/', 'is_customized': False}"
,Bags,0,0,"{'path': '/responder-bags', 'is_customized': False}"
,Body Armor,0,0,"{'path': '/body-armor', 'is_customized': False}"
,Custom Designs,0,0,"{'path': '/first-responder-custom-items', 'is_customized': True}"
,Decals,0,0,"{'path': '/first-responder-decals', 'is_customized': False}"
,Electronic Equipment,0,0,"{'path': '/first-responder-electronic-equipment', 'is_customized': False}"
,Boots- OLD,0,0,"{'path': '/boots-old/', 'is_customized': False}"
,Gear and Equipment Storage,0,0,"{'path': '/rescue-gear-storage', 'is_customized': False}"
,Hazmat,0,0,"{'path': '/hazmat-response-equipment', 'is_customized': False}"
,Helmets,0,0,"{'path': '/fire-helmets', 'is_customized': False}"
,Home Safety,0,0,"{'path': '/firefighter-home-safety', 'is_customized': False}"
,Ladders,0,0,"{'path': '/firefighting-ladders', 'is_customized': False}"
,Leather Goods,0,0,"{'path': '/first-responder-leather-goods', 'is_customized': False}"
,Lights/Flashlights,0,0,"{'path': '/responder-flashlights', 'is_customized': True}"
,Medical Supplies and Equipment,0,0,"{'path': '/medical-supplies-and-equipment', 'is_customized': False}"
,PPE,0,0,"{'path': '/ppe/', 'is_customized': False}"
,Power Equipment,0,0,"{'path': '/firefighting-power-equipment', 'is_customized': False}"
,Rope and Tech Rescue,0,0,"{'path': '/rope-tech-rescue-equipment', 'is_customized': False}"
,Suppression,0,0,"{'path': '/firefighting-suppression-equipment', 'is_customized': False}"
,Tools,0,0,"{'path': '/tools/', 'is_customized': False}"
,Traffic Supplies,0,0,"{'path': '/traffic-control-supplies', 'is_customized': False}"
,Training,0,0,"{'path': '/firefighter-trainers', 'is_customized': False}"
,Vehicle Rescue,0,0,"{'path': '/firefighter-vehicle-rescue', 'is_customized': False}"
,Ventilation,0,0,"{'path': '/firefighter-ventilation', 'is_customized': False}"
,Water Rescue,0,0,"{'path': '/firefighter-water-rescue', 'is_customized': False}"
,Wildland,0,0,"{'path': '/wildland-firefighting', 'is_customized': False}"
,Shop by Job,0,0,"{'path': '/shop-by-job', 'is_customized': False}"
,Drones,0,0,"{'path': '/drones', 'is_customized': False}"
,Gear Dryers,0,0,"{'path': '/gear-dryers', 'is_customized': False}"
,New Products,0,0,"{'path': '/miscellaneous/New-Products', 'is_customized': False}"
,Hot Sales,0,0,"{'path': '/miscellaneous/Hot-Sales', 'is_customized': False}"
,Clearance,0,0,"{'path': '/miscellaneous/Clearance', 'is_customized': False}"
,Knives and Multi Tools,0,0,"{'path': '/first-responder-tools/rescue-knives-and-multi-tools', 'is_customized': False}"
,Vehicle Compartment Matting,0,0,"{'path': '/emergency-vehicle-equipment/emergency-vehicle-compartment-matting', 'is_customized': False}"
